dimension,birth,death
2,23,24
1,24,25
1,24,27
1,24,25
2,23,24
1,24,25
1,21,22
1,19,22
1,21,22
1,22,24
1,22,25
1,22,23
2,19,22
1,22,25
1,22,23
1,22,23
1,22,27
1,22,40
1,22,25
1,22,25
1,22,25
1,22,25
1,22,23
1,22,23
1,22,25
1,22,23
2,21,22
1,22,25
2,21,22
1,22,24
2,22,27
1,19,20
1,17,20
1,15,20
1,19,20
1,20,21
1,20,23
1,20,21
1,20,21
1,20,23
1,20,23
1,20,22
1,20,22
1,20,25
1,20,22
2,19,20
2,17,20
1,20,22
1,20,23
1,20,21
1,20,21
1,20,21
1,20,21
1,20,23
1,20,21
1,20,21
2,19,20
1,20,21
2,19,20
1,20,21
1,20,26
1,20,42
2,20,22
2,20,21
2,20,22
1,17,18
1,17,18
1,17,18
1,17,18
1,17,18
1,15,18
1,18,25
1,18,21
1,18,25
1,18,20
1,18,21
1,18,21
1,18,19
1,18,19
1,18,19
1,18,22
1,18,19
1,18,19
2,17,18
1,18,19
2,17,18
2,17,18
1,18,23
1,18,19
1,18,22
1,18,21
4,17,18
1,9,16
1,15,16
1,9,16
1,15,16
2,15,16
1,16,18
1,16,19
1,16,17
1,16,19
1,16,18
1,16,17
1,16,17
1,16,18
1,16,18
1,16,18
1,16,18
1,16,19
1,16,19
1,16,18
1,16,17
1,16,19
1,16,19
2,15,16
1,16,34
1,16,17
2,15,16
2,15,16
1,16,17
2,15,16
1,16,18
1,16,17
2,15,16
1,16,19
1,16,17
2,15,16
1,16,17
1,13,14
1,11,14
1,5,14
1,13,14
1,9,14
1,14,15
1,14,16
1,14,15
1,14,15
1,14,15
1,14,15
1,14,15
1,14,15
1,14,15
1,14,35
1,14,15
1,14,17
1,14,21
1,14,15
1,14,15
1,14,15
1,14,22
2,13,14
1,14,15
1,14,15
1,14,30
1,14,15
1,14,15
1,14,17
1,14,15
2,13,14
2,13,14
1,14,15
2,13,14
1,14,17
4,13,14
1,11,12
1,11,12
1,11,12
1,11,12
1,11,12
1,9,12
1,11,12
1,11,12
1,7,12
1,5,12
1,11,12
1,12,13
1,12,13
1,12,14
1,12,13
1,12,13
1,12,13
1,12,13
2,11,12
1,12,15
1,12,13
1,12,13
1,12,15
1,12,13
1,12,13
1,12,13
1,12,13
1,12,13
1,12,13
1,12,21
1,12,15
2,11,12
1,12,13
1,12,13
1,12,13
1,12,14
1,12,15
2,11,12
1,12,15
1,12,13
1,9,10
1,9,10
1,7,10
1,5,10
1,5,10
1,9,10
1,9,10
1,10,19
1,10,11
1,10,12
1,10,11
1,10,13
1,10,12
1,10,11
1,10,11
1,10,11
1,10,11
1,10,11
1,10,11
1,10,11
1,10,14
1,10,15
1,10,11
2,9,10
1,10,12
1,10,13
1,10,13
1,10,12
4,7,10
1,3,8
1,7,8
1,7,8
1,7,8
1,7,8
1,7,8
1,7,8
1,8,10
1,8,10
1,8,10
1,8,13
1,8,11
1,8,9
1,8,9
1,8,10
1,8,9
1,8,10
1,8,9
1,8,9
1,8,9
1,8,11
1,8,9
2,7,8
1,8,11
2,7,8
1,8,9
2,7,8
1,8,11
1,8,10
4,7,8
4,7,8
1,5,6
1,5,6
1,5,6
1,5,6
1,5,6
1,5,6
1,5,6
1,5,6
1,5,6
1,5,6
1,1,6
1,5,6
1,3,6
1,3,6
1,5,6
1,5,6
1,3,6
1,6,9
1,6,7
1,6,11
2,5,6
1,6,13
1,6,9
1,6,7
1,6,7
1,6,7
1,6,7
1,6,8
1,6,9
1,6,7
2,5,6
2,5,6
4,5,6
1,3,4
1,3,4
1,3,4
1,3,4
1,3,4
1,3,4
1,3,4
1,1,4
1,3,4
1,3,4
1,3,4
1,3,4
1,3,4
1,3,4
1,3,4
1,3,4
1,3,4
1,3,4
1,3,4
1,1,4
1,1,4
1,3,4
1,1,4
1,4,5
1,4,5
1,4,5
1,4,7
1,4,7
1,4,5
1,4,5
1,4,10
1,4,7
1,4,5
1,4,5
1,4,6
1,4,12
1,4,5
1,4,5
1,4,6
1,4,5
1,1,2
1,1,2
1,1,2
1,1,2
1,1,2
1,1,2
1,1,2
1,1,2
1,1,2
1,1,2
1,1,2
1,1,2
1,1,2
1,1,2
0,2,3
1,1,2
1,1,2
1,1,2
1,1,2
1,1,2
1,1,2
1,1,2
1,1,2
1,1,2
1,1,2
1,1,2
1,1,2
1,1,2
1,1,2
1,1,2
1,1,2
1,1,2
1,1,2
1,1,2
1,1,2
1,1,2
1,1,2
1,2,4
1,2,4
1,2,3
1,2,4
1,2,5
1,2,4
1,2,5
1,2,3
1,2,5
1,2,4
1,2,4
1,2,4
1,2,4
1,2,3
1,2,11
1,2,3
1,2,4
1,2,4
1,2,3
1,2,4
1,2,3
