dimension,birth,death
1,6,9
1,6,7
4,5,6
4,3,6
1,3,4
1,1,4
1,3,4
1,3,4
1,3,4
0,4,5
1,3,4
0,4,5
1,3,4
0,4,5
0,4,9
1,3,4
1,3,4
0,4,5
1,3,4
0,4,5
1,3,4
1,3,4
1,1,4
1,1,4
1,1,4
1,3,4
1,1,4
1,4,6
1,4,5
1,4,5
1,4,5
1,4,6
1,4,8
1,4,5
1,4,5
1,4,6
1,4,5
1,4,5
1,4,5
1,4,7
2,3,4
2,3,4
1,4,5
1,4,5
4,3,4
4,3,4
4,3,4
4,3,4
4,3,4
1,1,2
1,1,2
1,1,2
1,1,2
1,1,2
0,2,3
1,1,2
1,1,2
1,1,2
0,2,3
1,1,2
1,1,2
1,1,2
1,1,2
1,1,2
1,1,2
0,2,3
1,1,2
1,1,2
1,1,2
1,1,2
1,1,2
1,1,2
1,1,2
1,1,2
1,1,2
1,1,2
1,1,2
1,1,2
1,2,4
1,2,3
1,2,4
1,2,4
1,2,3
1,2,6
1,2,4
1,2,5
1,2,4
1,2,4
1,2,3
1,2,3
1,2,3
1,2,18
1,2,3
1,2,3
1,2,4
1,2,3
2,1,2
1,2,4
1,2,3
1,2,3
1,2,3
1,2,4
1,2,3
1,2,3
2,1,2
1,2,4
1,2,4
1,2,3
1,2,4
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
