dimension,birth,death
1,26,27
1,26,30
1,26,27
1,26,34
1,26,27
1,26,27
1,26,33
1,26,27
1,26,27
2,25,26
4,25,26
4,25,26
1,23,24
1,19,24
1,15,24
1,23,24
1,23,24
1,23,24
1,24,25
1,24,26
1,24,26
1,24,27
1,24,26
1,24,32
1,24,26
1,24,32
1,24,26
1,24,28
1,24,25
1,24,30
1,24,26
1,24,25
2,23,24
1,24,26
1,24,25
1,24,29
1,24,25
1,24,26
1,24,27
4,23,24
4,17,24
1,21,22
1,21,22
1,19,22
1,21,22
1,22,25
1,22,29
1,22,23
1,22,31
1,22,30
1,22,33
1,22,25
1,22,25
1,22,23
1,22,47
1,22,25
1,22,25
1,22,25
1,22,33
1,22,23
2,21,22
1,22,23
2,21,22
2,21,22
2,21,22
1,22,25
1,22,23
1,22,24
1,22,34
1,22,27
1,22,33
1,22,24
2,21,22
1,22,23
2,21,22
2,21,22
2,21,22
2,21,22
1,19,20
1,19,20
1,19,20
1,19,20
1,19,20
1,19,20
1,19,20
1,19,20
1,19,20
1,15,20
1,19,20
1,19,20
1,15,20
1,20,21
1,20,23
1,20,21
1,20,21
1,20,21
1,20,22
1,20,21
1,20,21
1,20,21
1,20,21
1,20,24
1,13,18
1,17,18
1,17,18
1,17,18
1,17,18
1,17,18
1,17,18
1,15,18
1,17,18
1,17,18
1,15,18
1,17,18
1,17,18
1,17,18
1,18,19
1,18,21
1,18,20
1,18,20
1,18,21
1,18,23
1,18,21
1,18,20
1,18,19
1,18,21
1,18,19
1,18,21
1,18,23
1,18,21
1,18,21
1,18,19
2,17,18
2,17,18
1,18,19
1,18,21
1,18,19
4,17,18
4,17,18
4,17,18
1,15,16
1,15,16
1,15,16
1,15,16
1,15,16
1,15,16
1,15,16
1,15,16
1,15,16
1,15,16
1,15,16
1,15,16
1,13,16
1,13,16
1,15,16
1,15,16
1,16,19
1,16,19
1,16,18
1,16,17
1,16,17
1,16,17
1,16,17
1,16,25
1,16,17
1,16,17
1,16,17
1,13,14
1,13,14
1,13,14
1,13,14
1,13,14
1,13,14
1,13,14
1,13,14
1,13,14
1,13,14
1,13,14
1,11,14
1,13,14
1,13,14
1,13,14
1,14,16
1,14,17
1,14,15
1,14,16
1,14,16
1,14,17
1,14,17
1,14,15
1,14,17
1,14,15
1,14,15
1,14,15
2,13,14
1,14,17
1,14,15
1,14,15
1,14,16
2,13,14
1,14,15
2,13,14
1,14,18
1,11,12
1,11,12
1,11,12
1,11,12
1,11,12
1,11,12
1,11,12
1,12,19
1,12,14
1,12,14
1,12,13
2,11,12
1,12,18
1,12,17
1,12,17
1,12,17
1,12,14
1,12,13
1,12,18
1,12,13
1,12,13
1,12,15
1,12,13
1,12,13
1,12,13
1,12,15
1,12,15
1,12,18
2,11,12
1,12,14
2,11,12
2,11,12
1,12,13
1,12,13
1,12,13
1,12,13
1,12,16
1,9,10
1,5,10
1,9,10
1,9,10
1,7,10
1,7,10
1,7,10
1,10,18
1,10,17
1,10,12
1,10,11
1,10,11
2,9,10
1,10,11
1,10,11
1,10,11
1,10,15
1,10,11
1,10,11
2,9,10
1,10,12
2,9,10
1,10,12
1,10,11
1,10,21
2,9,10
2,9,10
2,9,10
2,9,10
2,9,10
2,9,10
1,10,12
2,9,10
1,10,11
2,9,10
2,10,11
4,9,10
4,7,10
1,7,8
1,3,8
1,7,8
1,8,9
2,7,8
1,8,9
1,8,9
1,8,9
1,8,9
1,8,9
1,8,9
1,8,9
1,8,11
1,8,11
1,8,9
1,8,15
1,8,9
1,8,9
1,8,9
1,8,11
2,7,8
4,7,8
1,5,6
1,5,6
1,5,6
1,5,6
1,5,6
1,5,6
1,6,8
1,6,7
1,6,9
1,6,7
1,6,7
1,6,7
1,6,7
1,6,7
1,6,7
1,6,7
1,6,8
1,6,13
1,6,7
1,6,7
1,6,8
1,6,7
1,6,7
1,6,9
1,6,7
1,6,7
2,5,6
1,6,10
2,5,6
4,5,6
4,5,6
4,5,6
4,5,6
4,5,6
1,3,4
1,3,4
1,3,4
1,3,4
1,3,4
1,3,4
1,3,4
1,3,4
1,3,4
1,3,4
1,1,4
1,4,5
1,4,5
1,4,5
1,4,5
1,4,7
1,4,5
1,4,5
1,4,5
1,4,7
1,4,5
1,4,5
1,4,5
1,4,5
1,4,5
1,4,5
1,4,5
1,4,5
1,4,5
1,4,5
2,3,4
1,4,9
1,4,6
1,4,8
1,4,5
1,4,5
0,2,3
1,1,2
1,1,2
1,1,2
1,1,2
1,1,2
1,1,2
1,1,2
1,1,2
0,2,3
1,1,2
1,1,2
1,1,2
1,1,2
0,2,3
1,1,2
1,1,2
1,1,2
1,2,3
1,2,3
1,2,3
1,2,3
1,2,5
1,2,5
1,2,5
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,5
1,2,5
1,2,3
1,2,8
1,2,3
1,2,3
2,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
